wet_pc_s04|sub-basin percentage of wetland cover for class group 4
wet_pc_s05|sub-basin percentage of wetland cover for class group 5
wet_pc_s06|sub-basin percentage of wetland cover for class group 6
wet_pc_s07|sub-basin percentage of wetland cover for class group 7
wet_pc_s08|sub-basin percentage of wetland cover for class group 8
wet_pc_s09|sub-basin percentage of wetland cover for class group 9
wet_pc_u01|total watershed percentage of wetland cover for class group 1
wet_pc_u02|total watershed percentage of wetland cover for class group 2
wet_pc_u03|total watershed percentage of wetland cover for class group 3
wet_pc_u04|total watershed percentage of wetland cover for class group 4
wet_pc_u05|total watershed percentage of wetland cover for class group 5
wet_pc_u06|total watershed percentage of wetland cover for class group 6
wet_pc_u07|total watershed percentage of wetland cover for class group 7
wet_pc_u08|total watershed percentage of wetland cover for class group 8
wet_pc_u09|total watershed percentage of wetland cover for class group 9
for_pc_sse|sub-basin forest cover extent (percentage)
for_pc_use|total watershed forest cover extent (percentage)
crp_pc_sse|sub-basin crop cover extent (percentage)
crp_pc_use|total watershed crop cover extent (percentage)
pst_pc_sse|sub-basin pasture cover extent (percentage)
pst_pc_use|total watershed pasture cover extent (percentage)
ire_pc_sse|sub-basin irrigated area extent (percentage)
ire_pc_use|total watershed irrigated area extent (percentage)
gla_pc_sse|sub-basin glacier cover (percentage)
gla_pc_use|total watershed glacier cover (percentage)
prm_pc_sse|sub-basin permafrost cover (percentage)
prm_pc_use|total watershed permafrost cover (percentage)
pac_pc_sse|sub-basin protected area cover (percentage)
pac_pc_use|total watershed protected area cover (percentage)
tbi_cl_smj|sub-basin terrestrial biome spatial majority classes (classes 14)
tec_cl_smj|sub-basin terrestrial ecoregion spatial majority classes (classes 14)
fmh_cl_smj|sub-basin spatial majority of freshwater major habitat classes (classes 13)
fec_cl_smj|sub-basin spatial majority of freshwater ecoregions (classes 426)
cly_pc_sav|sub-basin average clay content (percentage)
cly_pc_uav|total watershed average clay content (percentage)
slt_pc_sav|sub-basin average silt content (percentage)
slt_pc_uav|total watershed average silt content (percentage)
snd_pc_sav|sub-basin average sand content (percentage)
snd_pc_uav|total watershed average sand content (percentage)
soc_th_sav|sub-basin average soil organic carbon (percentage)
soc_th_uav|total watershed average soil organic carbon (percentage)
swc_pc_syr|sub-basin average soil water content (percentage)
swc_pc_uyr|total watershed average soil water content (percentage)
swc_pc_s01|sub-basin soil water content for January (percentage)
swc_pc_s02|sub-basin soil water content for February (percentage)
swc_pc_s03|sub-basin soil water content for March (percentage)
swc_pc_s04|sub-basin soil water content for April (percentage)
swc_pc_s05|sub-basin soil water content for May (percentage)
swc_pc_s06|sub-basin soil water content for June (percentage)
swc_pc_s07|sub-basin soil water content for July (percentage)
swc_pc_s08|sub-basin soil water content for August (percentage)
swc_pc_s09|sub-basin soil water content for September (percentage)
swc_pc_s10|sub-basin soil water content for October (percentage)
swc_pc_s11|sub-basin soil water content for November (percentage)
swc_pc_s12|sub-basin soil water content for December (percentage)
lit_cl_smj|sub-basin spatial majority lithology classes (classes 16)
kar_pc_sse|sub-basin spatial extent of karst cover (percentage)
kar_pc_use|total watershed spatial extent of karst cover (percentage)
ero_kh_sav|sub-basin soil erosion (kg/hectare/yr)
ero_kh_uav|total watershed soil erosion (kg/hectare/yr)
pop_ct_ssu|sub-basin population count (count thousands)
pop_ct_usu|total watershed population count (count thousands)
ppd_pk_sav|sub-basin population density (people/km2)
ppd_pk_uav|total watershed population density (people/km2)
urb_pc_sse|sub-basin urban cover (percentage)
urb_pc_use|total watershed urban cover (percentage)
nli_ix_sav|sub-basin average nighttime lights index (index value)
nli_ix_uav|total watershed average nighttime lights index (index value)
rdd_mk_sav|sub-basin road density (m/km2)
rdd_mk_uav|total watershed road density (m/km2)
hft_ix_s93|sub-basin human footprint index for 1993 (index value)
hft_ix_u93|total watershed human footprint index for 2009 (index value)
hft_ix_s09|sub-basin human footprint index for 2009 (index value)
hft_ix_u09|total watershed human footprint index for 2009 (index value)
gad_id_smj|sub-basin administrative unit spatial majority (ID number)
gdp_ud_sav|sub-basin average gross domestic product (USD)
gdp_ud_ssu|sub-basin total gross domestic product (USD)
gdp_ud_usu|total watershed gross domestic product (USD)
hdi_ix_sav|sub-basin human development index (index value)
